name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
Narrandera Airport,Narrandera,NRA,-34.7022018433,146.511993408,144.0,,7456.0
Narrabri Airport,Narrabri,NAA,-30.3192005157,149.82699585,240.0,,
Normanton Airport,Normanton,NTN,-17.68409,141.069664,22.0,,8354.0
Newman Airport,Newman,ZNE,-23.4178009033,119.803001404,525.0,,372181.0
Olympic Dam Airport,Olympic Dam,OLP,-30.485000610399997,136.876998901,105.0,,103589.0
Port Augusta Airport,Argyle,PUG,-32.506900787353516,137.7169952392578,17.0,,
Palm Island Airport,Palm Island,PMK,-18.755300521850582,146.58099365234375,9.0,,26303.0
Paraburdoo Airport,Paraburdoo,PBO,-23.1711006165,117.745002747,429.0,,263370.0
Gove Airport,Gove,GOV,-12.269399642899998,136.817993164,59.0,,68052.0
Parkes Airport,Parkes,PKE,-33.131401062,148.238998413,326.0,,19244.0
Port Lincoln Airport,Port Lincoln,PLO,-34.6053009033,135.880004883,11.0,,171635.0
Pormpuraaw Airport,Pormpuraaw,EDR,-14.896451,141.60908,3.0,,
Port Macquarie Airport,Port Macquarie,PQQ,-31.4358005524,152.863006592,4.0,,226932.0
Portland Airport,Portland,PTJ,-38.31809997558594,141.4709930419922,81.0,,
Quilpie Airport,Quilpie,ULP,-26.612199783325195,144.2530059814453,200.0,,
Ramingining Airport,Ramingining,RAM,-12.356399536132812,134.8979949951172,63.0,,
Roma Airport,Roma,RMA,-26.545000076300003,148.774993896,315.0,,57885.0
St George Airport,St George,SGO,-28.049699783325195,148.59500122070312,200.0,,
Shark Bay Airport,Shark Bay,MJK,-25.8938999176,113.577003479,34.0,,
Saibai Island Airport,Saibai Island,SBR,-9.378330230710002,142.625,5.0,,
Strahan Airport,Strahan,SRN,-42.154998779296875,145.29200744628906,6.0,,
Thargomindah Airport,Thargomindah,XTG,-27.986400604248047,143.81100463867188,132.0,,
Tennant Creek Airport,Tennant Creek,TCA,-19.6343994140625,134.18299865722656,377.0,,
Victoria River Downs Airport,Victoria River Downs,VCD,-16.402124404907227,131.00497436523438,27.0,,
Warraber Island Airport,Sue Islet,SYU,-10.20829963684082,142.8249969482422,1.0,,
Windorah Airport,Windorah,WNR,-25.41309928894043,142.66700744628906,138.0,,
Whyalla Airport,Whyalla,WYA,-33.05889892578125,137.51400756835938,12.0,,46522.0
Wiluna Airport,Wiluna,WUN,-26.629199981689453,120.22100067138672,503.0,,
Wollongong Airport,Wollongong,WOL,-34.561100006103516,150.78900146484375,9.0,,19089.0
Winton Airport,Winton,WIN,-22.36359977722168,143.08599853515625,194.0,,
Wynyard Airport,Burnie,BWT,-40.9989013671875,145.7310028076172,19.0,,76001.0
Yorke Island Airport,Yorke Island,OKR,-9.752801,143.405673,3.0,,
Yam Island Airport,Yam Island,XMY,-9.90110969543457,142.7760009765625,0.0,,
Mount Keith Airport,Mount Keith,WME,-27.286399841308594,120.55500030517578,546.0,,
Grafton Airport,Grafton,GFN,-29.7593994140625,153.02999877929688,34.0,,
Orange Airport,Orange,OAG,-33.3816986084,149.132995605,949.0,,99332.0
Taree Airport,Taree,TRO,-31.8885993958,152.514007568,12.0,,
Goulburn Airport,Goulburn,GUL,-34.810298919677734,149.7259979248047,653.0,,
Cessnock Airport,Cessnock,CES,-32.787498,151.341995,64.0,,
Scone Airport,Scone,NSO,-32.037200927734375,150.83200073242188,227.0,,
Mudgee Airport,Mudgee,DGE,-32.5625,149.610992432,471.0,,
Maitland Airport,Maitland,MTL,-32.701265,151.492912,26.0,,
Oceanside Municipal Airport,Fraser Island,OCN,33.217300415039,-117.35399627686,9.0,,
Bungle Bungle Airport,Bungle Bungle,,-17.545299530029297,128.3070068359375,0.0,,
Whitsunday Island Airport,Airlie Beach,WSY,-20.27611,148.755,12.0,,
RAAF Base Amberley,Amberley,,-27.6406,152.712006,28.0,,
Tindal Airport,Katherine,KTR,-14.521100044250488,132.3780059814453,135.0,,
"RAAF Williams, Laverton Base",Laverton,,-37.86360168457031,144.74600219726562,5.0,,
Nowra Airport,Nowra,NOA,-34.94889831542969,150.53700256347656,122.0,,
